№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
294;1010294;Чернівецька;Чернівецький;59300;м.;Кіцмань;;вулиця;Незалежності;65-А;;;;59300, Чернівецька обл., Чернівецький р-н.,  м.Кіцмань, вул.Незалежності, 65-А;7322510100;UA73060290010095467
295;1010295;Дніпропетровська;;50089;м.;Кривий Ріг;Тернівський;вулиця;Адмірала Головка;40;;;;50089, Дніпропетровська обл., м.Кривий Ріг, Тернівський р-н., вул.Адмірала Головка, 40;1211037200;UA12060170010643671
296;1010296;Одеська;Білгород-Дністровський;68100;м.;Татарбунари;;вулиця;23-го серпня;21;;;;68100, Одеська обл., Білгород-Дністровський р-н., м.Татарбунари, вул.23-го серпня, 21;5125010100;UA51040250010015619
297;1010297;Харківська;Харківський;63202;смт.;Нова Водолага;;вулиця;Гагаріна;12;;;;63202 Харківська обл., Харківський р-н. смт.Нова Водолага, вул.Гагаріна, 12;6324255100;UA63120170010054489
298;1010298;Харківська;;61000;м.;Харків;Холодногірський;вулиця;Кононенка;магазин 15-П;;;;61000, Харківська обл., м.Харків, Холодногірський р-н., вул.Кононенка, магазин 15-П;6310137200;UA63120270010877312
299;1010299;Харківська;Харківський;63270;смт.;Солоницівка;;вулиця;ЗАВОДСЬКА;49/9;;;;63270, Харківська обл., Харківський р-н., смт.Солоницівка, вул.Заводська, 49/9;6322057600;UA63120250010071938
300;1010300;Чернівецька;Дністровський;60236;м.;Новодністровськ;;вулиця;5-тий квартал;3;;;;60236, Чернівецька обл., Дністровський р-н., м.Новодністровськ, вул.5-тий квартал, 3;7310600000;UA73040130010085979
301;1010301;Волинська;Камінь-Каширський;44601;смт.;Маневичі;;вулиця;Луцька;1;;;;44601, Волинська обл., Камінь-Каширський р-н. смт.Маневичі, вул.Луцька,1;0723655100;UA07040050010044229
302;1010302;Полтавська;;39630;м.;Кременчук;Крюківський;вулиця;Велика Набережна;51;;;;39630, Полтавська обл., м.Кременчук, Крюківський р-н., вул.Велика Набережна, 51;5310436500;UA53020110010228624
303;1010303;Одеська;Одеський;65482;м.;Южне;;вулиця;ЦЕНТРАЛЬНА;28;;;;65482, Одеська обл., Одеський р-н., м.Южне, вул.Центральна, 28;5111700000;UA51100410010044384
304;1010304;Київська;Бучанський;08130;с.;Петропавлівська Борщагівка;;вулиця;Велика Кільцева;4-А;;;;08130, Київська обл., Бучанський р-н., с.Петропавлівська Борщагівка, вул.Велика Кільцева 4-А;3222485901;UA32080050010035667
305;1010305;Одеська;Одеський;67663;с.;Усатове;;вулиця;Грушевського;114;;;;67663, Одеська обл., Одеський р-н., с.Усатове, вул.Грушевського, 114;5121085201;UA51100330010025010
306;1010306;Кіровоградська;Голованівський;26300;м.;Гайворон;;вулиця;Василя Стуса;3-І;;;;26300 Кіровоградська обл., Голованівський р-н. м.Гайворон, вул.Василя Стуса, 3-І;3521110100;UA35020050010071459
307;1010307;Хмельницька;Хмельницький;31100;м.;Старокостянтинів;;вулиця;Миру;1/155;;;;31100, Хмельницька обл., Хмельницький р-н., м.Старокостянтинів, вул.Миру 1/155;6810800000;UA68040390010084208
308;1010308;Київська;Броварський;07416;с.;Погреби;;вулиця;Шевченка;1;;;;07416, Київська обл., Броварський р-н., с.Погреби, вул.Шевченка, 1;3221286401;UA32060090040088774
309;1010309;Вінницька;Вінницький;22800;м.;Немирів;;вулиця;Соборна;206;;;;22800, Вінницька обл., Вінницький р-н., м.Немирів, вул.Соборна, 206;523010100;UA05020170010087489
310;1010310;Київська;Фастівський;08151;м.;Боярка;;вулиця;МАЯКОВСЬКОГО;49;;;;08151, Київська обл., Фастівський р-н., м.Боярка, вул.Маяковського, 49;3222410300;UA32140030010045925
311;1010311;Чернівецька;Чернівецький;59200;м.;Вижниця;;вулиця;Українська;89-Б;;;;59200, Чернівецька обл., Чернівецький р-н., м.Вижниця, вул.Українська, 89-Б;7320510100;UA73020090010033414
312;1010312;Одеська;Роздільнянський;67450;с.;Кучурган;;вулиця;Павла Каплуна;73;;;;67450, Одеська обл., Роздільнянський р-н., с.Кучурган, вул.Павла Каплуна, 73;5123983401;UA51140090030017908
313;1010313;Львівська;Львівський;81500;м.;Городок;;вулиця;ДЖЕРЕЛЬНА;16;;;;81500, Львівська обл., Львівський р-н., м.Городок, вул.Джерельна, 16;4620910100;UA46060070010047335
314;1010314;Івано-Франківська;;76005;м.;Івано-Франківськ;;вулиця;Петлюри;7-Б;;;;76005, Івано-Франківська обл., м.Івано-Франківськ, вул. Петлюри, 7-Б;2610100000;UA26040190010045761
315;1010315;Донецька;Краматорський;85107;м.;Костянтинівка;;вулиця;Мирошниченко;37;;;;85107, Донецька обл., Краматорський р-н., м.Костянтинівка, вул.Мирошниченко, 37;1412600000;UA14120070010085843
316;1010316;Житомирська;;10002;м.;Житомир;Корольовський;;Смолянський майдан;3;;;;10002, Житомирська обл., м.Житомир, Корольовський р-н.,  Смолянський майдан, 3;1810136600;UA18040190010281147
317;1010317;Одеська;;67582;м.;Одеса;Суворовський;;19-й км Старокиївської дороги;4;;;;67582, Одеська обл., м.Одеса, Суворовський р-н., 19-й км Старокиївської дороги, 4;5110137600;UA51100270010413116
318;1010318;Миколаївська;;54028;м.;Миколаїв;Інгульський;вулиця;Новозаводська;23;;;;54028, Миколаївська обл., м.Миколаїв, Інгульський р-н., вул.Новозаводська, 23;4810136900;UA48060150010235917
319;1010319;Полтавська;Полтавський;39201;м.;Кобеляки;;площа;Перемоги;2-Б;;;;39201, Полтавська обл., Полтавський р-н., м.Кобеляки, площа Перемоги, 2-Б;5321810100;UA53080130010037756
320;1010320;Херсонська;Каховський;75201;смт.;Чаплинка;;вулиця;Каланчацька;1-А;;;;75201, Херсонська обл., Каховський р-н., смт.Чаплинка, вул.Каланчацька, 1-А;6525455100;UA65060290010083205
321;1010321;Вінницька;Вінницький;22700;м.;Іллінці;;вулиця;Європейська;74-Е;;;;22700, Вінницька обл., Вінницький р-н., м.Іллінці, вул.Європейська, 74-Е;521210100;UA05020090010088788
322;1010322;Харківська;Харківський;62489;смт.;Безлюдівка;;вулиця;Зміївська;62;;;;62489, Харківська обл., Харківський р-н., смт.Безлюдівка, вул.Зміївська, 62;6325155600;UA63120010010021177
323;1010323;Київська;Бучанський;08205;м.;Ірпінь;;вулиця;Озерна;3;;;;08205, Київська обл., Бучанський р-н., м.Ірпінь, вул.Озерна, 3;3210900000;UA32080150010049888
324;1010324;Вінницька;;24000;м.;Могилів-Подільський;;проспект;Героїв;57-37;;;;24000, Вінницька обл., м.Могилів-Подільський,  проспект Героїв, 57-37;510400000;UA05080050010069812
325;1010325;Сумська;;40021;м.;Суми;Зарічний;вулиця;Герасима Кондратьєва;98;;;;40021, Сумська обл., м.Суми, Зарічний р-н., вул.Герасима Кондратьєва, 98;5910136300;UA59080270010111002
326;1010326;Сумська;Охтирський;42706;м.;Охтирка;;вулиця;Сумська;8;;;;42706, Сумська обл., Охтирський р-н. м.Охтирка, вул.Сумська, 8;5910200000;UA59040110010017443
327;1010327;Миколаївська;;54025;м.;Миколаїв;Центральний;вулиця;Героїв України;113-Б;;;;54025, Миколаївська обл., м.Миколаїв, Центральний р-н., вул.Героїв України, 113-Б;4810137200;UA48060150010443183
328;1010328;Запорізька;Василівський;71601;м.;Василівка;;вулиця;Ліхачова;2/6;;;;71601, Запорізька обл., Василівський р-н., м.Василівка, вул.Ліхачова, 2/6;2320910100;UA23040030010016724
329;1010329;Дніпропетровська;Синельниківський;52900;смт.;Межова;;вулиця;ЗАВОДСЬКА;136;;;;52900, Дніпропетровська обл., Синельниківський р-н., смт.Межова, вул.Заводська, 136;1222655100;UA12140150010037835
330;1010330;Дніпропетровська;Синельниківський;52500;м.;Синельникове;;вулиця;Шевченка;27-А;;;;52500, Дніпропетровська обл., Синельниківський р-н., м.Синельникове, вул.Шевченка, 27-А;1213000000;UA12140310010049426
331;1010331;Черкаська;Звенигородський;20501;смт.;Катеринопіль;;вулиця;В`ячеслава Чорновола;4-Б;;;;20501, Черкаська обл., Звенигородський р-н., смт.Катеринопіль, вул.В`ячеслава Чорновола, 4-Б;7122255100;UA71020150010017266
332;1010332;Черкаська;Черкаський;19502;смт.;Городище;;вулиця;Миру;107;;;;19502, Черкаська обл., Черкаський р-н., смт.Городище, вул.Миру, 107;7120310100;UA71080110010037357
333;1010333;Черкаська;Черкаський;20801;м.;Кам`янка;;вулиця;Героїв Майдану;19;;;;20801, Черкаська обл., Черкаський р-н.,  м.Кам`янка, вул.Героїв Майдану, 19;7121810100;UA71080130010022318
334;1010334;Чернівецька;Чернівецький;59000;м.;Сторожинець;;вулиця;Яремчука;21;;;;59000, Чернівецька обл., Чернівецький р-н. м.Сторожинець, вул.Яремчука, 21;7324510100;UA73060490010033552
335;1010335;Харківська;Богодухівський;62203;смт.;Золочів;;вулиця;ЦЕНТРАЛЬНА;27-А;;;;62203, Харківська обл., Богодухівський р-н., смт.Золочів, вул.Центральна, 27-А;6322655100;UA63020050010064235
336;1010336;Тернопільська;Чортківський;48505;м.;Чортків;;вулиця;Степана  Бандери;60-А;;;;48505, Тернопільська обл., Чортківський р-н., м.Чортків, вул.Степана  Бандери, 60-А;6110300000;UA61060430010047348
337;1010337;Кіровоградська;Кропивницький;27406;м.;Знам’янка;;вулиця;Привокзальна;10-Д;;;;27406, Кіровоградська обл.,Кропивницький р-н., м.Знам’янка, вул.Привокзальна, 10-Д;3510600000;UA35040130010097956
338;1010338;Львівська;;79039;м.;Львів;Шевченківський;вулиця;Шевченка;120;;;;79039, Львівська обл., м.Львів, Шевченківський р-н., вул.Шевченка, 120;4610137500;UA46060250010615203
339;1010339;;;02088;м.;Київ;;вулиця;Першого Травня;1-А;;;;02088, м.Київ, Дарницький р-н.,вул.Першого Травня, 1-А;8036300000;UA80000000000210193
340;1010340;Одеська;Одеський;67832;смт.;Великодолинське;;вулиця;Чорноморська;2-А;;;;67832, Одеська обл., Одеський р-н., смт.Великодолинське, вул.Чорноморська, 2-А;5123755300;UA51100070010049456
341;1010341;Вінницька;;21007;м.;Вінниця;;вулиця;Академіка Янгеля;4;;;;21007, Вінницька обл., м.Вінниця, вул.Академіка Янгеля, 4;0510100000;UA05020030010063857
342;1010342;Харківська;;61010;м.;Харків;Основ’янський;вулиця;Греківська;25;;;;61010, Харківська обл., м.Харків, Основ’янський р-н., вул.Греківська, 25;6310138800;UA63120270010681864
343;1010343;Львівська;;79071;м.;Львів;Залізничний;вул.;Щирецька;36;;;;79071, Львівська обл., м.Львів, Залізничний р-н., вул.Щирецька, 36;4610136300;UA46060250010259421
344;1010344;Львівська;;79004;м.;Львів;Франківський;вул.;Стрийська;108;;;;79004, Львівська обл., м.Львів, Франківський р-н., вул.Стрийська, 108;4610136900;UA46060250010515336
345;1010345;Львівська;Стрийський;81600;м.;Миколаїв;;вул.;Болоня;40;;;;81600, Львівська обл., Стрийський р-н., м.Миколаїв, вул.Болоня, 40;4623010100;UA46100110010094231
346;1010346;Київська;Бориспільський;08325;с.;Щасливе;;вул.;Перспективна;17;;;;08325, Київська обл., Бориспільський р-н., с.Щасливе, вул.Перспективна, 17;3220888001;UA32040130010022833
347;1010347;Київська;;07400;м.;Бровари;;вулиця;Січових стрільців;1;;;;07400, Київська обл., м.Бровари, вул. Січових стрільців, 1;3210600000;UA32060050010081797
348;1010348;Рівненська;Сарненський;34200;смт.;Рокитне;;вулиця;Ігоря Зінича;3;;;;34200, Рівненська обл., Сарненський р-н., смт.Рокитне, вул.Ігоря Зінича, 3;5625055100;UA56080150010051265
349;1010349;Волинська;Луцький;45101;м.;Рожище;;вулиця;Героїв УПА;41;;;;45101, Волинська обл., Луцький р-н., м.Рожище, вул.Героїв УПА, 41;0724510100;UA07080250010017534
350;1010350;Миколаївська;Баштанський;56002;смт.;Казанка;;вулиця;Миру;189-Д;;;;56002, Миколаївська обл., Баштанський р-н., смт.Казанка, вул.Миру, 189-Д;4823655100;UA48020130010047500
351;1010351;Івано-Франківська;Надвірнянський;78405;м.;Надвірна;;вулиця;Мазепи;35-А;;;;78405, Івано-Франківська обл., Надвірнянський р-н., м.Надвірна, вул.Мазепи, 35-А;2624010100;UA26120070010010041
352;1010352;Дніпропетровська;;49127;м.;Дніпро;Самарський;вулиця;Автопаркова;5;;;;49127, Дніпропетровська обл., м.Дніпро, Самарський р-н., вул.Автопаркова, 5;1210138400;UA12020010010475293
353;1010353;Київська;Білоцерківський;09001;м.;Сквира;;вул.;Київська;34;;;;09001, Київська обл., Білоцерківський р-н., м.Сквира, вул.Київська, 34;3224010100;UA32020150010094707
354;1010354;Харківська;;61201;м.;Харків;Шевченківський;вул.;Клочківська;370;;;;61201, Харківська обл., м.Харків, Шевченківський р-н., вул.Клочківська, 370;6310136300;UA63120270010948820
355;1010355;Сумська;;40024;м.;Суми;Ковпаківський;вул.;Тополянська;23-Б;;;;40024, Сумська обл., м.Суми, Ковпаківський р-н., вул.Тополянська, 23-Б;5910136600;UA59080270010287243
356;1010356;Житомирська;Коростенський;11604;м.;Малин;;вул.;Івана Огієнка;61;;;;11604, Житомирська обл., Коростенський р-н., м.Малин, вул.Івана Огієнка, 61;1810900000;UA18060130010010134
